zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
V,C,6,0,6,6,1,1,1,1,2,2,0,0,1,4,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0
V,O,180,5,6,261,7,36,31,35,43,15,14,13,15,67,9,261,29,26,2,29,6,12,0,1,1,21,23,8,16,7
V,F,2,1,1,7,7,0,2,2,2,2,0,0,0,4,1,7,0,0,0,1,0,1,0,0,0,3,0,0,0,0
V,Na,28,3,1,36,0,36,11,5,9,1,1,1,2,9,1,36,6,1,0,1,0,2,0,0,0,0,0,0,1,0
V,Mg,24,4,1,31,2,11,31,6,8,3,1,0,4,9,1,31,3,2,0,1,0,2,0,0,0,0,0,0,0,0
V,Al,31,1,1,35,2,5,6,35,14,4,1,0,1,9,0,35,4,2,1,2,2,0,0,0,0,1,1,0,2,3
V,Si,27,4,2,43,2,9,8,14,43,0,0,1,3,17,1,43,12,3,0,0,1,1,0,0,0,9,0,0,0,3
V,P,14,1,2,15,2,1,3,4,0,16,0,0,2,2,0,16,0,1,1,1,0,0,0,0,0,3,2,0,0,0
V,S,12,0,0,14,0,1,1,1,0,0,23,0,3,0,0,23,0,1,0,5,0,1,0,0,2,0,1,0,2,0
V,Cl,3,1,0,13,0,1,0,0,1,0,0,13,2,0,0,13,1,0,0,6,0,1,0,0,0,1,5,0,0,0
V,K,10,0,1,15,0,2,4,1,3,2,3,2,16,0,0,16,3,0,0,2,0,0,0,0,0,0,0,0,3,0
V,Ca,55,0,4,67,4,9,9,9,17,2,0,0,0,67,0,67,4,4,0,1,0,7,0,0,0,2,1,0,3,1
V,Ti,4,0,0,9,1,1,1,0,1,0,0,0,0,0,9,9,0,0,0,0,0,2,0,0,0,3,0,0,0,0
V,V,181,5,6,261,7,36,31,35,43,16,23,13,16,67,9,274,29,26,3,34,6,13,0,1,3,21,24,8,16,7
V,Mn,22,0,1,29,0,6,3,4,12,0,0,1,3,4,0,29,29,0,0,0,0,2,0,0,0,2,4,0,0,1
V,Fe,16,0,0,26,0,1,2,2,3,1,1,0,0,4,0,26,0,26,0,5,0,0,0,0,0,2,5,0,0,1
V,Ni,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
V,Cu,11,0,0,29,1,1,1,2,0,1,5,6,2,1,0,34,0,5,0,34,0,2,0,0,1,1,2,2,1,0
V,Zn,5,0,0,6,0,0,0,2,1,0,0,0,0,0,0,6,0,0,1,0,6,0,0,0,0,0,2,0,0,0
V,As,10,0,0,12,1,2,2,0,1,0,1,1,0,7,2,13,2,0,0,2,0,13,0,0,0,1,1,0,0,0
V,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,Ag,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
V,Sb,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0
V,Ba,11,1,1,21,3,0,0,1,9,3,0,1,0,2,3,21,2,2,0,1,0,1,0,0,0,21,0,0,1,0
V,Pb,14,0,0,23,0,0,0,1,0,2,1,5,0,1,0,24,4,5,0,2,2,1,0,0,1,0,24,1,1,0
V,Bi,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,1,8,0,0
V,U,16,0,0,16,0,1,0,2,0,0,2,0,3,3,0,16,0,0,0,1,0,0,0,0,0,1,1,0,16,0
V,REE,3,0,0,7,0,0,0,3,3,0,0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Mn,H,407,15,17,407,14,81,42,70,185,98,24,17,28,111,22,22,407,78,2,7,31,66,0,0,2,21,19,0,4,17
Mn,B,15,28,1,28,1,6,5,7,14,1,0,3,1,6,1,0,28,1,0,0,0,0,0,0,2,1,1,0,0,2
Mn,C,17,1,25,25,2,8,3,2,6,3,4,2,0,10,0,1,25,0,0,0,1,2,0,0,0,0,2,0,0,4
Mn,O,407,28,25,584,25,132,57,86,256,126,28,23,41,149,39,29,584,105,2,11,37,76,0,0,16,28,31,0,4,29
Mn,F,14,1,2,25,25,17,2,6,17,7,1,0,3,10,10,0,25,0,0,0,0,0,0,0,0,3,0,0,0,3
Mn,Na,81,6,8,132,17,133,17,18,83,33,4,6,18,41,23,6,133,27,0,0,2,11,0,0,0,8,0,0,0,8
Mn,Mg,42,5,3,57,2,17,57,15,23,18,3,1,2,11,2,3,57,13,0,0,8,6,0,0,2,1,2,0,0,1
Mn,Al,70,7,2,86,6,18,15,86,46,35,4,0,5,24,0,4,86,17,0,0,2,1,0,0,1,1,2,0,0,11
Mn,Si,185,14,6,256,17,83,23,46,258,6,3,10,31,81,29,12,258,34,0,3,11,17,0,0,6,18,8,0,0,25
Mn,P,98,1,3,126,7,33,18,35,6,126,0,2,5,35,3,0,126,55,0,0,10,1,0,0,0,5,1,0,2,2
Mn,S,24,0,4,28,1,4,3,4,3,0,50,2,2,4,0,0,50,2,0,3,3,7,0,7,11,1,10,1,2,0
Mn,Cl,17,3,2,23,0,6,1,0,10,2,2,26,3,6,0,1,26,6,0,2,0,3,0,0,0,3,4,0,0,0
Mn,K,28,1,0,41,3,18,2,5,31,5,2,3,43,4,6,3,43,2,0,0,2,0,0,0,0,3,0,0,1,0
Mn,Ca,111,6,10,149,10,41,11,24,81,35,4,6,4,149,11,4,149,35,0,0,5,19,0,0,2,4,4,0,0,8
Mn,Ti,22,1,0,39,10,23,2,0,29,3,0,0,6,11,39,0,39,6,0,0,2,1,0,0,1,8,2,0,0,2
Mn,V,22,0,1,29,0,6,3,4,12,0,0,1,3,4,0,29,29,0,0,0,0,2,0,0,0,2,4,0,0,1
Mn,Mn,407,28,25,584,25,133,57,86,258,126,50,26,43,149,39,29,611,106,2,13,37,83,0,7,27,28,38,1,4,29
Mn,Fe,78,1,0,105,0,27,13,17,34,55,2,6,2,35,6,0,106,106,0,1,13,9,0,1,3,6,9,0,0,8
Mn,Ni,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Mn,Cu,7,0,0,11,0,0,0,0,3,0,3,2,0,0,0,0,13,1,0,13,0,5,0,0,1,0,0,0,0,1
Mn,Zn,31,0,1,37,0,2,8,2,11,10,3,0,2,5,2,0,37,13,0,0,37,7,0,0,1,0,3,0,0,0
Mn,As,66,0,2,76,0,11,6,1,17,1,7,3,0,19,1,2,83,9,0,5,7,83,0,3,7,1,7,0,0,4
Mn,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mn,Ag,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,1,0,0,0,3,0,7,5,0,4,0,0,0
Mn,Sb,2,2,0,16,0,0,2,1,6,0,11,0,0,2,1,0,27,3,0,1,1,7,0,5,27,0,7,0,0,0
Mn,Ba,21,1,0,28,3,8,1,1,18,5,1,3,3,4,8,2,28,6,0,0,0,1,0,0,0,28,1,0,0,1
Mn,Pb,19,1,2,31,0,0,2,2,8,1,10,4,0,4,2,4,38,9,0,0,3,7,0,4,7,1,38,0,0,0
Mn,Bi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mn,U,4,0,0,4,0,0,0,0,0,2,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
Mn,REE,17,2,4,29,3,8,1,11,25,2,0,0,0,8,2,1,29,8,0,1,0,4,0,0,0,1,0,0,0,29
Fe,H,662,18,22,662,15,129,78,136,215,176,122,31,71,171,36,16,78,662,6,22,40,86,1,1,6,32,36,7,13,34
Fe,B,18,38,0,38,5,8,8,16,25,2,1,4,0,14,1,0,1,38,1,1,0,1,0,0,0,1,0,0,0,6
Fe,C,22,0,32,28,1,7,6,2,9,2,4,1,1,4,1,0,0,32,2,0,2,0,0,0,0,3,1,0,0,2
Fe,O,662,38,28,981,39,200,119,181,333,224,136,48,96,257,92,26,105,981,11,38,43,111,1,1,18,48,54,10,20,60
Fe,F,15,5,1,39,39,23,10,12,32,6,0,0,7,15,8,0,0,39,0,0,0,3,0,0,0,7,0,0,0,4
Fe,Na,129,8,7,200,23,201,40,51,113,49,17,18,29,66,26,1,27,201,0,5,0,21,0,0,0,14,1,0,1,8
Fe,Mg,78,8,6,119,10,40,119,33,51,19,14,2,14,44,12,2,13,119,1,1,6,7,0,0,2,3,1,1,0,3
Fe,Al,136,16,2,181,12,51,33,187,108,43,15,3,24,90,8,2,17,187,3,3,2,0,0,0,1,6,5,0,1,20
Fe,Si,215,25,9,333,32,113,51,108,342,5,3,22,52,145,49,3,34,342,0,2,3,5,0,0,2,29,10,1,0,48
Fe,P,176,2,2,224,6,49,19,43,5,232,7,1,13,63,3,1,55,232,3,6,17,2,0,0,0,8,9,3,5,4
Fe,S,122,1,4,136,0,17,14,15,3,7,235,10,26,5,2,1,2,235,8,47,9,19,0,17,15,3,15,4,6,0
Fe,Cl,31,4,1,48,0,18,2,3,22,1,10,55,12,16,2,0,6,55,1,3,0,3,0,0,0,5,6,1,0,0
Fe,K,71,0,1,96,7,29,14,24,52,13,26,12,104,15,10,0,2,104,0,5,2,6,0,0,0,2,0,1,1,0
Fe,Ca,171,14,4,257,15,66,44,90,145,63,5,16,15,257,21,4,35,257,2,1,8,24,0,0,5,7,4,0,2,25
Fe,Ti,36,1,1,92,8,26,12,8,49,3,2,2,10,21,96,0,6,96,0,0,0,2,0,0,1,18,3,0,4,16
Fe,V,16,0,0,26,0,1,2,2,3,1,1,0,0,4,0,26,0,26,0,5,0,0,0,0,0,2,5,0,0,1
Fe,Mn,78,1,0,105,0,27,13,17,34,55,2,6,2,35,6,0,106,106,0,1,13,9,0,1,3,6,9,0,0,8
Fe,Fe,662,38,32,981,39,201,119,187,342,232,235,55,104,257,96,26,106,1141,25,81,44,128,6,17,33,49,63,13,20,60
Fe,Ni,6,1,2,11,0,0,1,3,0,3,8,1,0,2,0,0,0,25,25,1,0,1,0,0,1,0,0,0,0,0
Fe,Cu,22,1,0,38,0,5,1,3,2,6,47,3,5,1,0,5,1,81,1,81,1,21,2,3,4,0,5,4,0,0
Fe,Zn,40,0,2,43,0,0,6,2,3,17,9,0,2,8,0,0,13,44,0,1,44,10,0,0,1,0,4,0,0,0
Fe,As,86,1,0,111,3,21,7,0,5,2,19,3,6,24,2,0,9,128,1,21,10,128,0,3,3,3,14,4,2,3
Fe,Se,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,6,0,1,0,0,0,0,0
Fe,Ag,1,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,1,17,0,3,0,3,0,17,5,0,2,0,0,0
Fe,Sb,6,0,0,18,0,0,2,1,2,0,15,0,0,5,1,0,3,33,1,4,1,3,1,5,33,0,7,1,0,0
Fe,Ba,32,1,3,48,7,14,3,6,29,8,3,5,2,7,18,2,6,49,0,0,0,3,0,0,0,49,2,0,1,4
Fe,Pb,36,0,1,54,0,1,1,5,10,9,15,6,0,4,3,5,9,63,0,5,4,14,0,2,7,2,63,1,3,1
Fe,Bi,7,0,0,10,0,0,1,0,1,3,4,1,1,0,0,0,0,13,0,4,0,4,0,0,1,0,1,13,0,0
Fe,U,13,0,0,20,0,1,0,1,0,5,6,0,1,2,4,0,0,20,0,0,0,2,0,0,0,1,3,0,20,1
Fe,REE,34,6,2,60,4,8,3,20,48,4,0,0,0,25,16,1,8,60,0,0,0,3,0,0,0,4,1,0,1,60
Ni,H,64,0,12,63,0,2,2,6,7,2,15,5,1,4,0,2,2,6,64,4,1,11,1,0,2,0,1,1,4,0
Ni,B,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ni,C,12,0,14,12,0,1,0,1,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0
Ni,O,63,1,12,83,0,2,2,7,8,9,15,5,1,8,0,2,2,11,83,4,1,17,1,0,3,0,1,2,4,0
Ni,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Na,2,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ni,Mg,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Ni,Al,6,0,1,7,0,0,0,10,0,0,2,0,0,0,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0
Ni,Si,7,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Ni,P,2,0,0,9,0,0,0,0,0,20,0,0,0,5,0,1,0,3,20,0,0,0,0,0,0,0,0,0,0,0
Ni,S,15,0,0,15,0,1,0,2,0,0,52,0,1,0,0,0,0,8,52,7,0,6,0,0,7,0,2,6,1,0
Ni,Cl,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0
Ni,K,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ni,Ca,4,0,0,8,0,0,0,0,0,5,0,0,0,8,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,0
Ni,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,V,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Ni,Mn,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Ni,Fe,6,1,2,11,0,0,1,3,0,3,8,1,0,2,0,0,0,25,25,1,0,1,0,0,1,0,0,0,0,0
Ni,Ni,64,1,14,83,0,2,2,10,10,20,52,5,1,8,0,3,2,25,174,12,1,38,10,0,14,0,3,9,4,0
Ni,Cu,4,0,0,4,0,0,0,0,0,0,7,2,0,0,0,0,0,1,12,12,0,2,1,0,3,0,0,1,0,0
Ni,Zn,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ni,As,11,0,0,17,0,0,0,0,0,0,6,0,0,3,0,0,0,1,38,2,0,38,1,0,1,0,1,3,3,0
Ni,Se,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,10,0,0,0,0,0,0,0
Ni,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Sb,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,14,3,0,1,0,0,14,0,1,1,0,0
Ni,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Pb,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,3,0,0,0
Ni,Bi,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,1,0,3,0,0,1,0,0,9,0,0
Ni,U,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0
Ni,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cu,H,359,4,36,358,6,16,16,39,29,40,87,61,16,50,2,11,7,22,4,359,25,94,12,2,5,1,59,8,18,11
Cu,B,4,6,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
Cu,C,36,1,40,40,0,6,3,1,2,1,4,6,1,7,0,0,0,0,0,40,0,2,0,0,0,0,5,0,4,4
Cu,O,358,6,40,478,9,42,23,45,39,44,115,93,41,57,3,29,11,38,4,478,29,123,22,2,6,4,70,12,18,13
Cu,F,6,0,0,9,9,3,1,4,0,3,0,4,0,1,1,1,0,0,0,9,0,3,0,0,0,0,0,0,0,0
Cu,Na,16,0,6,42,3,43,4,1,2,4,13,12,8,9,2,1,0,5,0,43,1,17,1,0,1,0,1,1,0,1
Cu,Mg,16,0,3,23,1,4,23,1,2,2,4,5,0,4,0,1,0,1,0,23,1,5,0,0,0,0,0,0,1,0
Cu,Al,39,0,1,45,4,1,1,49,9,6,15,5,4,6,0,2,0,3,0,49,0,14,1,0,3,0,5,0,0,0
Cu,Si,29,0,2,39,0,2,2,9,39,0,5,2,3,10,1,0,3,2,0,39,1,2,0,0,0,3,7,0,1,1
Cu,P,40,0,1,44,3,4,2,6,0,44,4,2,0,7,0,1,0,6,0,44,6,4,0,0,0,0,5,2,3,3
Cu,S,87,0,4,115,0,13,4,15,5,4,317,12,18,10,0,5,3,47,7,317,18,47,5,36,42,1,73,44,2,1
Cu,Cl,61,1,6,93,4,12,5,5,2,2,12,97,15,9,1,6,2,3,2,97,5,14,11,2,3,0,21,2,0,1
Cu,K,16,0,1,41,0,8,0,4,3,0,18,15,43,3,0,2,0,5,0,43,1,10,2,1,0,0,3,1,0,0
Cu,Ca,50,2,7,57,1,9,4,6,10,7,10,9,3,58,0,1,0,1,0,58,1,22,1,0,1,0,1,1,3,2
Cu,Ti,2,0,0,3,1,2,0,0,1,0,0,1,0,0,3,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0
Cu,V,11,0,0,29,1,1,1,2,0,1,5,6,2,1,0,34,0,5,0,34,0,2,0,0,1,1,2,2,1,0
Cu,Mn,7,0,0,11,0,0,0,0,3,0,3,2,0,0,0,0,13,1,0,13,0,5,0,0,1,0,0,0,0,1
Cu,Fe,22,1,0,38,0,5,1,3,2,6,47,3,5,1,0,5,1,81,1,81,1,21,2,3,4,0,5,4,0,0
Cu,Ni,4,0,0,4,0,0,0,0,0,0,7,2,0,0,0,0,0,1,12,12,0,2,1,0,3,0,0,1,0,0
Cu,Cu,359,6,40,478,9,43,23,49,39,44,317,97,43,58,3,34,13,81,12,770,45,172,65,44,57,5,128,63,18,13
Cu,Zn,25,0,0,29,0,1,1,0,1,6,18,5,1,1,0,0,0,1,0,45,45,17,3,4,4,0,5,0,0,0
Cu,As,94,0,2,123,3,17,5,14,2,4,47,14,10,22,2,2,5,21,2,172,17,172,3,11,5,0,18,3,2,4
Cu,Se,12,0,0,22,0,1,0,1,0,0,5,11,2,1,0,0,0,2,1,65,3,3,65,4,10,0,16,12,3,0
Cu,Ag,2,0,0,2,0,0,0,0,0,0,36,2,1,0,0,0,0,3,0,44,4,11,4,44,12,0,14,11,0,0
Cu,Sb,5,0,0,6,0,1,0,3,0,0,42,3,0,1,1,1,1,4,3,57,4,5,10,12,57,0,14,1,0,0
Cu,Ba,1,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0
Cu,Pb,59,0,5,70,0,1,0,5,7,5,73,21,3,1,0,2,0,5,0,128,5,18,16,14,14,0,128,39,1,1
Cu,Bi,8,0,0,12,0,1,0,0,0,2,44,2,1,1,0,2,0,4,1,63,0,3,12,11,1,0,39,63,0,0
Cu,U,18,0,4,18,0,0,1,0,1,3,2,0,0,3,0,1,0,0,0,18,0,2,3,0,0,0,1,0,18,1
Cu,REE,11,0,4,13,0,1,0,0,1,3,1,1,0,2,0,0,1,0,0,13,0,4,0,0,0,0,1,0,1,13
Zn,H,210,0,15,210,1,11,16,23,32,44,48,9,7,30,8,5,31,40,1,25,210,54,0,1,3,2,26,0,4,1
Zn,B,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
